"file","sha256","bytes","reason","deleted_at"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_级别2：社交茧房_装配稿.md","23663D4A8BE6D524A3DEFE2DD13600C13BB0618089FA1936E7FFA45B51F1727A","2133","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_级别3：认知茧房_装配稿.md","294C2E2486565500D1C4C6D2D003B1D805BE8DF3A4F40278EAE87C63575C2FC1","2296","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_建造者1：算法推荐系统_装配稿.md","44370119BE08608F00F81692C379533F7E7C0148DF1A1651372E039CFB9EC624","2238","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_建造者2：你自己的认知Bug_装配稿.md","7906F80651D0C1D645551D5C6C42DC08E2E6B4854E4545314B24938721C93528","1948","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_建造者3：信息不对称的系统性强化_装配稿.md","443699D4EDF08E1BBA1AFBCC5B1B5085045C13F718010653E3FAC825FE27C73B","2073","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_具体区分：当你在比较中感到自卑时，你的第一反应是什么_装配稿.md","019C73A62CBBD56433A972CA2B8DE565D5571078399B08C785672870A02E5597","2558","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_那段时间，每天靠健身抵抗抑郁_装配稿.md","675CF093EA0F2635E91374D90B8034DEE3DEF831162ACB30D98FB51578E24A62","2324","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_内在负荷：任务本身固有的复杂度_装配稿.md","6869A469B9FC7D4C2936E976B2697C0021ADBE092A7B1DD72A133959CC13A8FB","2042","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_你每天损失的不是5分钟——是3.3小时的深度注意力_装配稿.md","91EB64F86B3CA95D738E290E445DED0ABB3CFF2C39A8C30D1AB269205F5DD94D","2394","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_然后——这3件事必须在上午完成_装配稿.md","79BE2169831E5465061C95FD8E5861A1719EF8036690034B1CC1BB9147C3E3A0","2010","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_如果你的答案是 不愿意 ——明天不要增加忙碌_装配稿.md","9E60FF7EEB22ACA77EA0BF6CB3B6C877E6D2D1AAFAF28DD7AEDBF63B56CDD6B5","2326","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_三个要素不需要均等_装配稿.md","8C602200C97DE6A8344C1EF34A79B0BD7CEC5433DFB5CDA4C1E7E0615D072229","1784","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_外在负荷：任务呈现方式带来的额外负担_装配稿.md","D27F16A31A99917E6C18E5FB3C4831E85A444B971CF8DDB1E1EE9E91C7A6370E","2186","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_为什么这一步对你很关键：你的110篇文章在本地_装配稿.md","1065CDBA9FBA4361B0B8D025CF53FD7023007BEED71991044A7F6C6636D922E9","2219","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_用户用0.5秒决定是否点开你的内容_装配稿.md","B9BE172E1A0F7F1E333A21B89367FDA4C80FAA34E1BB9C71999E3C52AB00A3BD","2153","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_有信息量：AI可以给你任何已知的信息_装配稿.md","1564F43EDDE0FC5E561C554A35B9B6CE651EF20FA1FD5914D6DECEAE16FD49FF","2219","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_这不仅是理论分歧——这是世界观的分水岭_装配稿.md","11448BE96C28B1D20927D46B8AE04D8A946F17430B597B7BB874A9FA97D6AC5F","2234","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C1 1 多巴胺基线崩塌与修复_装配稿.md","8500CDB81DFCA297DCBDB210AEE74F75CB8AFAE0B9AD77AA741798FA1D33F6EB","2168","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C1 2 饮食决策框架_装配稿.md","DD324261F4ADF124BAE62D973B387D6FA971C25155C497F9500C7DE06769365E","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C1 3 昼夜节律重建_装配稿.md","B7ADCD5D518A065B90FEC54B7FC288C1D65EAAA2441C71D8BA2888709E354182","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C1 4 成瘾不是意志力问题_装配稿.md","A060573282E1C29E9005D7F4193635F5DD91DC451BB130ECF55348058A35A478","2126","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C1 5 睡眠不是休息_装配稿.md","F443483F35778EC6BF406E1EE89991E6AE9EE0BC369CC25E3DE85B4FABA63B6D","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C2 1 先避毁灭再求收益_装配稿.md","F501AE128E6807EDA77BC7B2C4C77CD0133D2A2A87D98BCFDE61611F909A5DE9","2084","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C2 2 认知负债陷阱_装配稿.md","1B6A269239F43BCA97F126CA658EDAD0BB571E14A54A96163C603982580FF89E","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C2 3 六格复盘_装配稿.md","3A38B500CE60A817CF4B7685811EEAB41D1C18D5B88BD03DD8BB527E97510802","1916","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C2 4 认知目标函数_装配稿.md","F2C72E3ED27FC352977886CDA45A52058B091B5C91014E34316F15DD2E655BEE","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C2 5 游戏不是敌人_装配稿.md","D6FFB05DC0D9FBC20D8E9F4331F844EC57DC6B94179C0E5665E0568C722DA066","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C3 1 资产还是负债_装配稿.md","1B4FFEF73D11317BDCFB6AB03974BA71AFF89C290D967BDFFB336611B6015580","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C3 2 杠铃策略_装配稿.md","26B4CB791172C21CA7CB15DA8E1FB8BBBB66E20B74553F0013E8C9452156E467","1916","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C3 3 一人企业模型_装配稿.md","A85862D6FE769598C94E9B6F9EA49CB1A4935953479C06D526EF436B9EAAEBC9","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C3 4 复利不是数学公式_装配稿.md","AEEF0E3BE3FE170DB53AF11142824B3C8E56718A1ECDBB153FBF62FBF2FB9B37","2084","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C3 5 交易的唯一正确目标_装配稿.md","06D57AA1A0904687D9E52FE426B709CAD8531AEB5CFFE17642FFFB2F46E752CA","2126","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C4 1 三位一体创作_装配稿.md","7DCFF801674F607595D8CBB65687FF5D1D4D7BB2A54AEAC6B9325264D8318716","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C4 2 平台策略_装配稿.md","3E769F38770139AB388B4E398A1EDD376BAEF3C1A54B678B4FA1A7E3E7121282","1916","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C4 3 内容产品化_装配稿.md","399491F3283D1446ECC42CE8DE66C21DED0B42CC514E5C68D89648D90AD60A7A","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C4 4 注意力是第一资产_装配稿.md","B9446C7C8616F27E4936A72E5187797A0948BBD0C84AE6633B9029F23987D73E","2084","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C4 5 发布不是终点_装配稿.md","DC523E8993F47EFF5C5F834094E06B544A6F648927BB1E416E66F86DE4F45D85","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C5 1 反依赖_装配稿.md","5BC849C4E8255762511E391D1F3CA644BAE6E0528764F6BA406AF49B1E6A9321","1874","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C5 2 形象管理_装配稿.md","CC882E9965932D14AAC45EF89995DB0EAE41A44917515A61A3725A5084362BBA","1916","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C5 3 代际错位_装配稿.md","9FAE39F6800056C53C61AA3F2E0406A3EF54E3BFD20C9E1B2C324096618C03BF","1916","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C5 4 形象不是虚伪_装配稿.md","189A48A29C3B313A4771F66AA987EB057DCED906E0413145874C4FBADAD836FA","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C5 5 代际错位即杠杆_装配稿.md","0450F59EE730D8CC74C6022A505F5EE0CADF302F8A38F9016CE936BA6AE0890B","2042","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C6 1 负循环破解_装配稿.md","9B6A267E54D8215889879A337B37739BCC212906EAD97E015704106E4DAF0706","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C6 2 P0单一主线_装配稿.md","ECF1B6267C04B43A93CD67819305CF4635BEA47DF9FC40A0674BABDC31451AA7","1944","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C6 3 14天实验SOP_装配稿.md","2310C36D013E301E72AF3ED25B6B8EC71E0CFAED08CE092AD6B9AFC65D686CA9","1944","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C6 4 最小可行性系统_装配稿.md","6363CA39A4DC5E60A98B4C31849263074D1C8ED8A3E275152A4E447D5AF905B8","2042","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C6 5 环境的暴政_装配稿.md","90E50D0F2214BD3DC48F6A604135352639F90B060D4772798FB8B76FF86CDD2D","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C7 1 第一性原理_装配稿.md","5985097A768200619D93C8B3162066BBC3AD467970455074D290368E331D50F2","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C7 2 芒格格栅_装配稿.md","AC488C8637891E4A07AD0F28CB0551CBA57EF82E822F5D20F8A4B789F32F6E83","1916","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C7 3 反脆弱_装配稿.md","A69A1FD1A72111E2A45C9B0E79F7BA0D2003FD40BA60077DF92DEB8F8F564BE3","2981","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C7 4 反共识不是叛逆_装配稿.md","D9F7F2173CE6645701294A69F1DD616A7AD6797D15461FC09E525C4B97044B80","2042","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_C7 5 系统大于目标_装配稿.md","2B40152D0141375AFBD974AB1F8DE2B413A621042C1F3E1556231CB40D2995EE","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_CH01 meta abilities_装配稿.md","88428D9253B1284026E4E16B803AA9988F75F944F43A8237293255F8655EC5A3","1944","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_CH03 physical health_装配稿.md","313B94612A98292DBD41B8FE69C5889D12ECD046F95920666F025D456F402C64","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_CH04 wealth business_装配稿.md","5CF17DA9853A8AE99B49C975D20EB6D93ABB26951DEF24CD5736F441C261F8D5","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_CH07 problem solving_装配稿.md","9191E85C094EBEE7E88FA30C847E811DB5DD73EBCD55E27FEEC7E5D01D4A48EF","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D01 AI时代独立思考的价值_装配稿.md","8E2EB49CE2883F07F9067B71C545503C838DBAC2E2895B658A9D907D9AE5CE2A","2140","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D02 资产vs负债_装配稿.md","E71244CB4C51116E19FBA44B8DA7ED61959F97D862BE6A0DD1E7A736D0B57865","1930","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D03 多巴胺天平_装配稿.md","D0710AB4F71AB8921FA006B4609A58DCF078AF6DC9159306DAEE6C621F1A6906","1944","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D05 认知Bug防御_装配稿.md","69DB5A8CACC4959E88856F451A607F42F0892E6046E9BF9DEFC712E2E9FFEABA","1944","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D07 最小可行性习惯_装配稿.md","886133BD3225D50C60EE8153191F0D09A791ED688B4BF0E713FBF0C57ECDAE1B","2028","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D08 复利曲线_装配稿.md","C40F11C399B6A63DDEF8F84483328D77193DD8246EBF3CF9DF0FA49DF198DCD0","1902","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D09 内容创作四根命脉_装配稿.md","6F2B3747C888EC162238AC217BA0876247547015AD8CCC8AA7923F573DAA99D3","2070","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D100 内容产品化_装配稿.md","17E47CBAD1A4FEF43933D97BE4EF0106CC661CAF58C8E33DE769A04B1EEA7A01","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D101 发布不是终点_装配稿.md","6B860C2152C243B9286BC3B84B441A8BE61C3699A0F4B161AB5D4118DCB88D91","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D102 环境的暴政_装配稿.md","735D854F57C43BDCC2DBDDC3A658CB3174BE3C7FA76354158E3969BDBAA97F6A","1958","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D103 饮食决策框架_装配稿.md","7EC3AD0A74F229D770B79310E1BA47868B3DC64F27039EA33E9A4F28851D09A0","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D104 昼夜节律重建_装配稿.md","874CC1A5C7DCBF2634F9F8DDFF586F4929F1F15BCF9C3555F6EEB098030C126E","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D105 成瘾不是意志力问题_装配稿.md","C1C02CFA4112FA110C5AC45753F0363631F08D39CC381ACC307EB0D27E18151B","2126","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D106 睡眠不是休息_装配稿.md","0372C0A282B359B3FB2E8EB6077D7099F72A1C8260EC2F7B6CBFE73B1BFF2267","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D107 认知目标函数_装配稿.md","F3703C93E35A1D98DE856CEF50D7A7F58060E9BCD409CC59CDA367DB34860E3F","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D108 形象不是虚伪_装配稿.md","6F4B75FF23FD90E8BDC1CBE3F9244EA4745AD0A562379E24C1F932188A85C1FA","2000","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D109 代际错位即杠杆_装配稿.md","B96BA9FF08C8F6901C0E5E2BACE2E0A5BEDEA38B6853BA0D4716D242CB3E0703","2042","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D11 共同想象与权力_装配稿.md","2B9E7B5F78099536BE854DA4B689965E099748964F507A62482518C8743A30D1","2028","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D110 多巴胺基线崩塌与修复_装配稿.md","ABF750A1D307A6E995E3B1F32236B4F57AFF2931016B5A623AD358B61FF9E227","2168","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D12 三重大脑的真相_装配稿.md","A5A6BA2551D07C281CA1FB998274956F5A8EDC9AA5F4CC3A1C3D7ED551B5C4A3","2028","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D13 依恋模式_装配稿.md","E9A9A999F4EF1B7361F9FF60B364B97CA0B6EF9271B0D24FFCB456D882C11FA1","1902","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D14 第一性原理深钻_装配稿.md","BA993CCA71CB47D9AA62541EF64F5C247645CF1E153222FEE11F8122B91C3C80","2028","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D16 22岁试错期权_装配稿.md","FF57895DD1EC289FCC6DC0B567827F4F211BA54D0069B0BFBB1EA60233502D07","1972","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D17 信息转化率_装配稿.md","6709029C4C811750C573C5EDB4F5A2C05F98E95F459E5A19647FB60AF1D619A2","1944","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D18 知道验证的鸿沟_装配稿.md","C1AED0A6D8078A781736892EDA2848653093B24A2BC06935AFC44B63063269A1","2028","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D19 环境暴政_装配稿.md","31271977A8DCC35F2AF0DFF7E754A3002149F138E09EF2D1B366D3FF98157DE3","1902","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D20 连续天数_装配稿.md","229EC452E77EB86ACAE163D3A951BE329F2A0DDDF4E23DA795C8F790E49A8257","1902","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D21 形象杠杆_装配稿.md","F4643EF9B34DD317D89C09EDB3C8AFE871C5B4BCACF5F0C83D15D1BA3C2E443E","1902","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D22 拖延的三种类型_装配稿.md","25888402658781AA34F37A17951B734C99BA7C3D9757211CF9DC402A262C779C","2028","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D23 情绪是数据_装配稿.md","F1012AD01815DE73A9A98AC3E2146D105F85AD44D92B70187D4A59CA917E4E9A","1944","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
"05-内容生产/内容体系/00-缓冲区/选题装配/2026-06-11_D24 反脆弱未来_装配稿.md","0C075DC82D317936FC2EE6545E9EAFB83BD32BD12D035D63FF3D350FFF7B1DA6","3001","generated assembly; broken source-unit links; placeholder/template output","2026-07-15"
