"Original","Archived","Reason"
"05-内容生产\内容体系\06-选题装配\2026-06-11_COG-006的注意力经济学在第一性层面揭示了真相：你感……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_COG-006的注意力经济学在第一性层面揭示了真相：你感……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_COG-009指出了一个被低估的维度：当所有人都能用AI……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_COG-009指出了一个被低估的维度：当所有人都能用AI……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_Day 1-3(基线记录期)：不做任何改变，只记录当前的……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_Day 1-3(基线记录期)：不做任何改变，只记录当前的……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_DBS FULL ENGINEERING AUDIT 2……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_DBS FULL ENGINEERING AUDIT 2……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_H(Happy 有趣)：不是 搞笑 ，是你的表达方式让读……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_H(Happy 有趣)：不是 搞笑 ，是你的表达方式让读……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_K(Knowledge 有信息量)：不是 写了多少字 ，……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_K(Knowledge 有信息量)：不是 写了多少字 ，……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_n 信息茧房不是一个 你选择关注的兴趣圈 ——是你的大……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_n 信息茧房不是一个 你选择关注的兴趣圈 ——是你的大……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_n 自律被整个社会误读为 管住自己 ——好像你是一个需……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_n 自律被整个社会误读为 管住自己 ——好像你是一个需……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_PPC-001的奖励超级反应Bug在这里运作得最精妙：每……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_PPC-001的奖励超级反应Bug在这里运作得最精妙：每……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_PPC-001的社会证明Bug解释了原因：当你周围所有人……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_PPC-001的社会证明Bug解释了原因：当你周围所有人……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_PPC-008提供了一个完全不同的框架：自律不是自我惩罚……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_PPC-008提供了一个完全不同的框架：自律不是自我惩罚……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_R(Resonance 有共鸣)：不是 写读者想听的话 ……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_R(Resonance 有共鸣)：不是 写读者想听的话 ……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_WLH-005的多巴胺回路解释了认知卸载中最大的敌人：数……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_WLH-005的多巴胺回路解释了认知卸载中最大的敌人：数……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_WLH-008的老鼠乐园实验在这里有深刻启示：孤独环境中……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_WLH-008的老鼠乐园实验在这里有深刻启示：孤独环境中……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_WLH-009揭示了流量的第一性原理：人类每天的有效注意……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_WLH-009揭示了流量的第一性原理：人类每天的有效注意……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_WLH-009的内容单元揭示了流量的第一性原理：人类每天……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_WLH-009的内容单元揭示了流量的第一性原理：人类每天……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_WLH-012的100篇定律有一个容易被忽视的神经科学基……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_WLH-012的100篇定律有一个容易被忽视的神经科学基……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_不是 随便写100篇然后你就会了 ——是 有意识地迭代1……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_不是 随便写100篇然后你就会了 ——是 有意识地迭代1……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_他做了什么： - 大量发推文（最终积累了10894条）………_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_他做了什么： - 大量发推文（最终积累了10894条）………_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_他用AI解决了5个 翻译 问题： 1. 标题和封面怎么提……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_他用AI解决了5个 翻译 问题： 1. 标题和封面怎么提……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_他的变现逻辑（播客原话）： - 私域和公域要结合运营 ……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_他的变现逻辑（播客原话）： - 私域和公域要结合运营 ……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_他的播客时间线： - 250304 摆摊、小红书、抖音……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_他的播客时间线： - 250304 摆摊、小红书、抖音……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_他选择X(Twitter)作为第一个平台，原因： - 纯……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_他选择X(Twitter)作为第一个平台，原因： - 纯……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_但更关键的是：注意力不仅是被外部抢夺的——你自己也在 内……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_但更关键的是：注意力不仅是被外部抢夺的——你自己也在 内……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_你点击了一篇符合你已有观点的内容，所以多巴胺微涨（ 我说……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_你点击了一篇符合你已有观点的内容，所以多巴胺微涨（ 我说……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_你让AI写一篇 为什么早起很重要 ——AI会给你一篇完美……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_你让AI写一篇 为什么早起很重要 ——AI会给你一篇完美……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_关键实操：下次你发现自己在解释 我为什么是现在这样 时，……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_关键实操：下次你发现自己在解释 我为什么是现在这样 时，……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_关键方法：他让AI分析自己已火的内容，找出共同逻辑： -……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_关键方法：他让AI分析自己已火的内容，找出共同逻辑： -……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_内容单元溯源：本文核心论点均来自DBS内容系统已抽取的内……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_内容单元溯源：本文核心论点均来自DBS内容系统已抽取的内……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_前30篇(爬行期)：质量几乎是一条平线，因为你的主要精力……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_前30篇(爬行期)：质量几乎是一条平线，因为你的主要精力……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_后来我才知道，我当时经历的不是 意志力不够 ——是CBT……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_后来我才知道，我当时经历的不是 意志力不够 ——是CBT……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_在DBS关系索引中检索本文标题关键词，建立至少3条显式连……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_在DBS关系索引中检索本文标题关键词，建立至少3条显式连……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_在知识库内容单元(v2 02-内容单元库 )中搜索本文标……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_在知识库内容单元(v2 02-内容单元库 )中搜索本文标……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_在这个环境下，打破茧房的唯一方法是：主动寻找 让你不舒服……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_在这个环境下，打破茧房的唯一方法是：主动寻找 让你不舒服……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_大多数人在用的是 惩罚框架 ：我需要管住自己、我需要控制……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_大多数人在用的是 惩罚框架 ：我需要管住自己、我需要控制……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_小红书店铺上线：¥199付费答疑社群 - 同时提供¥40……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_小红书店铺上线：¥199付费答疑社群 - 同时提供¥40……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_工具1 课题分离（Separation of Task……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_工具1 课题分离（Separation of Task……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_工具3 自卑补偿（Inferiority Compen……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_工具3 自卑补偿（Inferiority Compen……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_惩罚框架让自律变成一件 孤独的事 ，你一个人在战斗，你一……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_惩罚框架让自律变成一件 孤独的事 ，你一个人在战斗，你一……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_所以HKR公式的真正含义不是 写东西时要注意这三个要素 ……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_所以HKR公式的真正含义不是 写东西时要注意这三个要素 ……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_所以你总是回到手机，不是因为你 需要 看，是你的多巴胺系……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_所以你总是回到手机，不是因为你 需要 看，是你的多巴胺系……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_有共鸣：共鸣的原料是你的脆弱、你的失败、你的 我和你们一……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_有共鸣：共鸣的原料是你的脆弱、你的失败、你的 我和你们一……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_有趣：AI可以说出 有趣的话 但无法真正理解 什么是有趣……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_有趣：AI可以说出 有趣的话 但无法真正理解 什么是有趣……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_本文与知识库中其他节点的关系： - 本文←对应母题簇-3……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_本文与知识库中其他节点的关系： - 本文←对应母题簇-3……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_核心问题：痛苦是无法避免的，但如何在痛苦中不被击垮反……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_核心问题：痛苦是无法避免的，但如何在痛苦中不被击垮反……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_每天保护2个2小时的深度工作块——上午8-10点和下午2……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_每天保护2个2小时的深度工作块——上午8-10点和下午2……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_每天早上，在日历上写下今天要完成的3件事，不是 写文章 ……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_每天早上，在日历上写下今天要完成的3件事，不是 写文章 ……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_爱护框架的策略完全不同：不是压制情绪脑和本能脑，是让它们……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_爱护框架的策略完全不同：不是压制情绪脑和本能脑，是让它们……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_知识库连接路径：本文到对应母题簇到35张深度卡到1720……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_知识库连接路径：本文到对应母题簇到35张深度卡到1720……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_第3层(认知防御)：当你发现自己在无意识刷手机时，不是 ……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_第3层(认知防御)：当你发现自己在无意识刷手机时，不是 ……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_第一层：物理卸载 把所有 需要做但不是现在 的事情写出大……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_第一层：物理卸载 把所有 需要做但不是现在 的事情写出大……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_第三层：决策卸载 PPC-006的意志力电池模型：每个决……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_第三层：决策卸载 PPC-006的意志力电池模型：每个决……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_第二层：注意力分配卸载 不只是卸载 要做什么 ，还要卸载……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_第二层：注意力分配卸载 不只是卸载 要做什么 ，还要卸载……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_裸辞（ 裸辞7年 推算2018年左右） - 具体做什么不……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_裸辞（ 裸辞7年 推算2018年左右） - 具体做什么不……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_认知神经科学一个被反复验证的发现：人类的工作记忆容量约为……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_认知神经科学一个被反复验证的发现：人类的工作记忆容量约为……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_这个循环每次旋转都在做两件事：缩小你的信息范围、强化你的……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_这个循环每次旋转都在做两件事：缩小你的信息范围、强化你的……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_这个系统借用了PPC-001的厌恶不一致Bug——一旦你……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_这个系统借用了PPC-001的厌恶不一致Bug——一旦你……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_这个系统有两层保护：第一层(2小时深度工作)确保你每天有……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_这个系统有两层保护：第一层(2小时深度工作)确保你每天有……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_这就是为什么前30篇感觉像 在泥里行走 ——你的神经通路……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_这就是为什么前30篇感觉像 在泥里行走 ——你的神经通路……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_这就是流量的零和属性：每多一个人看你的内容，就少一个人看……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_这就是流量的零和属性：每多一个人看你的内容，就少一个人看……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_这意味着： - ❌ 不是：先写100篇存着 → 一次性发……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_这意味着： - ❌ 不是：先写100篇存着 → 一次性发……_装配稿.md","截断省略号"
"05-内容生产\内容体系\06-选题装配\2026-06-11_这被称为蔡格尼克效应：未完成的任务比已完成的任务更容易被……_装配稿.md","90-归档/历史版本\knowledge-base-audit-20260715\noisy-assembly-drafts\2026-06-11_这被称为蔡格尼克效应：未完成的任务比已完成的任务更容易被……_装配稿.md","截断省略号"
