Model Name,Anti-Use,Created,Failure Modes,Last Verified,Leverage Type,Linked Questions,Model Type,Reuse Count,Steps,When to Use
巴菲特｜长期价值引擎（价值×护城河×理性）,高频交易、短线情绪博弈、强技术变化且能力圈外的领域；不适合把“长期”当拖延借口。,2026年5月15日 12:15,把市场价格当价值；没有安全边际就买入；圈外硬下注；频繁操作；护城河自我幻想；长期持有劣质资产。,2026年5月10日,Capital,,Investment,0,"1) 判断内在价值
2) 检查护城河
3) 设安全边际
4) 只在击球区出手
5) 用情绪稳定抵抗市场先生",投资、个人品牌、技能复利、项目筛选时。区分价格与价值，寻找护城河，用安全边际吸收错误，用耐心等击球区。
【芒格宝典】专题一：多元思维模型与格栅理论,简单确定性问题（例如纯流程执行、已知标准答案）不必上格栅；避免过度分析导致拖延。,2026年5月15日 12:15,把格栅当阅读材料不产出；模型太多不收敛；只挑顺眼模型=确认偏误；不写反证与出局线；用术语堆砌代替行动。,2026年5月9日,,,Learning,0,"1) 定题型与目标函数（决策/学习/执行/下注）
2) 选 3–7 个学科透镜（概率/复利/激励/进化/机会成本/安全边际/反馈）
3) 让模型交叉验证：至少2个模型指向同一结论
4) 写出关键约束与出局线
5) 输出一张卡：结论 + 反证 + 下一步实验",用于处理复杂问题与跨域决策：避免“手里只有锤子”；用多学科少量关键模型交叉校验，输出可行动的结论与反证。
量化｜纪律交易引擎（数据×仓位×系统）,样本太小、数据不可得、规则无法执行时，不应伪量化；不要把相关性包装成因果。,2026年5月15日 12:15,只看胜率不看赔率；无仓位管理；回测过拟合；系统信号被情绪推翻；样本太小就放大；把量化当神谕。,2026年5月10日,Code,,Investment,0,"1) 定义Edge
2) 记录样本
3) 设Gate/Trigger/Sizing/Exit
4) 单笔风险≤可承受
5) 周复盘偏差并迭代",交易系统、内容运营、A/B 测试、风控、情绪剥离时。用数据寻找 edge，用仓位管理避免出局，用系统化规则代替盘感。
【塔勒布宝典】专题一：黑天鹅、极端世界与尾部风险,在纯平均世界（小波动、无出局风险）的细节优化场景，不必过度使用尾部风险框架，避免行动瘫痪。,2026年5月15日 12:15,用历史均值预测极端世界；忽略小概率归零；用期望值骗自己（俄罗斯轮盘赌）；熔断写了不执行；把“高胜率小赚”当安全。,2026年5月9日,,,Decision,0,"1) 判世界：平均（正态）vs 极端（幂律）
2) 写出局路径：哪些事件=直接归零
3) 设硬熔断：触发即停止/减仓/撤退
4) 用结构替代预测：小注多次试错
5) 下行封顶：让最坏情况可承受",用于任何可能“出局/归零”的决策与下注（投资/职业/内容分发/创业）：先判断是否在幂律极端世界，然后把尾部风险与熔断写死，禁止用精细预测自欺。
【纳瓦尔宝典】专题一：财富的底层物理学（杠杆与专长）,,2026年5月15日 12:15,,,,,Learning,0,,
结构线条工程｜颈部张力 + 下颌线稳定（5 分钟/日）,,2026年5月15日 12:15,,,,,Training,0,,
【Ali Abdaal】专题三：基于证据的高效学习法（主动召回与间隔重复）,,2026年5月15日 12:15,,,,,Learning,0,,
机体 SOP v1.0｜高维人类运维协议,,2026年5月15日 12:15,,,,,Training,0,,
节律与神经表现｜光照 + 蓝光 + 多巴胺稳态（外貌恢复加速器）,,2026年5月15日 12:15,,,,,Training,0,,
达利欧｜现实机器引擎（求真×加权×进化）,需要心理安抚或隐私边界很高的场景，不宜过度透明；单人小事不必过度算法化。,2026年5月15日 12:15,把透明变成羞辱；把可信度等同名气；平均所有意见；诊断没做就开药；原则只写不执行；用系统化逃避现实行动。,2026年5月10日,Code,,Decision,0,"1) 记录事实而非感受
2) 找痛苦对应的机器 bug
3) 信息源可信度加权
4) 目标-问题-诊断-设计-执行
5) 把有效规则写成原则",复盘、团队决策、AI 协作、信息源筛选、个人系统修复时。用痛苦定位机器 bug，用可信度加权筛选观点，用五步流程改造系统。
亲密关系,涉及暴力、胁迫、操控、持续撒谎/冷暴力等安全风险时：优先保护自身与寻求专业支持，不把模型当“沟通技巧”继续硬修。,2026年5月15日 12:15,把“上头/强刺激”当适配；用控制/套路替代真实连接；只讲道理不回应感受；冲突时升级到指责/读心/防御；信任破裂后只靠道歉不靠新行为证据；长期耗损仍不评估退出。,2026年5月9日,,,Learning,0,"1) 先定位问题属于6系统中的哪1–2个
2) 写当前互动的可观测证据（行为，不猜测）
3) 找触发器：不安全感来自信任缺口/依恋触发/沟通升级？
4) 选一个最小修复动作：先回应感受→再谈问题
5) 设边界与验证：一致性/兑现率/尊重是否在提升
6) 若长期耗损：评估是否继续投入（看冲突时品性与修复能力）",用于把亲密关系问题从“对错/情绪”降维成可诊断的 6 个系统：吸引力、信任、依恋、情绪连接、沟通质量、修复/稳定；适合复盘关系、择偶决策、冲突修复。
马斯克｜第一性工程引擎（物理极限×删减×一线）,健康、关系、不可逆高风险决策不能照搬其极限风险偏好；资源弱、底座差时，禁止用 All-in 包装冲动。,2026年5月15日 12:15,把第一性原理当口号；没触底就重构；优化不该存在的流程；过早自动化；用愿景掩盖执行缺陷；复制马斯克风险偏好导致出局。,2026年5月10日,Code,,Decision,0,"1) 写底层事实
2) 列默认假设并逐条质疑
3) 删除不该存在的要求/流程
4) 简化后再加速
5) 最后自动化；必须亲临一线校验",复杂项目、技术产品、AI 工作流、内容工厂、流程重构时。先拆到底层事实，再删掉不该存在的环节，最后才提速和自动化。
人性跨学科,用于“操控/利用他人”或为伤害行为找借口时禁用；涉及严重心理困扰/创伤反应时，模型只能辅助观察，不能替代专业支持。,2026年5月15日 12:15,把人性道德化（好/坏标签）导致无解释力；只谈动机不看隐藏收益；企图用意志力硬拼奖励系统；不改环境只改决心；忽略地位/归属的隐性驱动导致误判冲突。,2026年5月9日,,,Learning,0,"1) 选一个具体行为（可观测）
2) 逐项问：它满足了哪1–2个系统？（欲望/恐惧/奖励/地位/归属）
3) 写隐藏收益（短期得到什么）与长期代价
4) 找可控变量：环境、门槛、反馈、替代奖励、边界
5) 设计最小实验：降低威胁感或提高正确行为的即时反馈
6) 复盘：哪条驱动最强？下次优先改哪一个杠杆",用于解释/预测自己与他人的行为：把行为还原为 5 个驱动系统（欲望、恐惧、奖励、地位、归属），用于复盘拖延/上瘾/关系冲突/内容发布阻力等。
芒格｜避错引擎（格栅×误判×能力圈）,简单流程、标准答案、纯发散创作阶段；避免把模型当术语表，导致过度分析和拖延。,2026年5月15日 12:15,只读不写决策卡；只找支持证据；情绪激活时仍做不可逆决定；跨能力圈下注；写了熔断不执行；把耐心误解成逃避。,2026年5月10日,Capital,,Decision,0,"1) 写目标函数/出局线/可观测变量
2) 选3–7个模型交叉校验
3) 过八大误判体检
4) Invert列死法清单
5) 写最小实验+硬熔断",重大决策、投资、职业选择、关系进退、项目下注前。用少量跨学科模型交叉校验，用误判体检识别情绪和激励偏差，用能力圈限定下注范围。
人性与关系｜驱动×信任×修复模型,涉及暴力、胁迫、持续撒谎、冷暴力或严重心理困扰时，本模型不能替代安全行动或专业支持；禁止用于操控他人。,2026年5月15日 12:15,把人性道德化；把上头当适配；只讲道理不回应感受；不改环境只拼意志；信任破裂只道歉不改行为；长期耗损仍硬修。,2026年5月10日,Media,,Learning,0,"1) 写可观测行为
2) 判定欲望/恐惧/奖励/地位/归属
3) 写隐藏收益和长期代价
4) 诊断关系六系统
5) 选一个最小修复动作并设边界",用于解释自己和他人的行为、复盘关系冲突、择偶、沟通修复、反成瘾、拖延、讨好、地位竞争。先诊断驱动，再看信任和修复能力。
镜头表现工程｜灯光 + 机位 + 对比度穿搭（最低成本上镜升级）,,2026年5月15日 12:15,,,,,Training,0,,
总纲 1｜财富/风险/复利引擎（Capital OS）,Edge 不可验证、胜率赔率不可估、现金流底座不足或情绪上头时，禁止重仓；不要用长期主义包装亏损不止损。,2026年5月15日 12:15,只谈收益不写出局线；高胜率小赚+低概率归零；无安全边际；仓位超过可承受损失；把观点当仓位；连续亏损仍加码。,2026年5月10日,,,Investment,0,"1) 判世界：平均/极端
2) 写出局线和可承受亏损
3) 找Edge：价值误定价或统计规律
4) 用安全边际/仓位吸收误差
5) 用杠铃锁下行、开上行
6) 周复盘纪律偏差",任何与资产配置、下注、交易、现金流、项目资源投入相关的决策。先保证不出局，再用价值/仓位/杠铃/数据纪律争取长期几何增长。
M/孙宇晨模型：极致流量杠杆与弱共识套利,,2026年5月15日 12:15,,,,,Investment,0,,
【奥特曼宝典】专题三：承担风险、极度专注与布道式销售,,2026年5月15日 12:15,,,,,Meta,0,,
瘦脸饮食,,2026年5月15日 12:15,,,,,Training,0,,
【Dan Koe】专题三：整合者模型（The Synthesizer）与抗脆弱技能栈,,2026年5月15日 12:15,,,,,Learning,0,,
【达利欧宝典】专题一：极度求真、透明与面对痛苦,,2026年5月15日 12:15,,,,,Meta,0,,
格雷厄姆｜创造者手艺引擎（财富×Maker×微小身份）,短期现金流保底优先时，不要只追长期上限；协调型当天不必强行半天深度块。,2026年5月15日 12:15,把身份当叙事；追大而全不交付；Manager 日程切碎 Maker 时间；只等算法不给用户对话；用系统规划替代作品。,2026年5月10日,Code,,Learning,0,"1) 判断可测量性×杠杆
2) 保护半天Maker块
3) 每天一个可见交付
4) 找真实用户对话
5) 把身份改成“我在试X”",选择项目、内容冷启动、深度工作、创造者作息、身份膨胀时。用可测量性和杠杆选题，用 Maker 时间生产作品，用小身份保护学习能力。
纳瓦尔｜杠杆自由引擎（财富×判断×平静）,现金流未稳、基本交付未完成时，不应把“自由”当逃避现实的包装；也不应用热情替代市场反馈。,2026年5月15日 12:15,把地位当财富；继续卖时间；追热点丢专长；只谈杠杆不承担责任；低欲望变懒散；阅读逃避输出；把幸福当多巴胺亢奋。,2026年5月10日,Media,,Learning,0,"1) 区分财富/金钱/地位
2) 找专长×责任×杠杆交集
3) 建代码/媒体资产
4) 用判断力筛方向
5) 降欲望保护自由",选择职业、内容方向、一人商业、技能栈、生活方式时。用财富/金钱/地位区分目标，用代码与媒体寻找非线性杠杆，用判断力放大长期结果，用低欲望保护自由。
外貌表现工程｜饮食×线条×节律×镜头,急性皮肤病、激素/药物问题、明显口腔/颌面疾病、快速消瘦或异常浮肿时，不靠本页硬调；先就医或做基础检查。,2026年5月15日 12:15,新增食物太多导致不可持续；把咀嚼肌练厚；只改护肤不改睡眠；镜头变量乱换无法归因；追求短期锐利导致训练/饮食崩盘。,2026年5月10日,Media,,Training,0,"1) 每天守蔬菜色素+蛋白+纤维
2) 每周2–3次胶原触发
3) 每日5分钟颈部线条
4) 早光10分钟+睡前降刺激
5) 镜头只改灯光/机位/穿搭一个变量",用于外貌、上镜、面部清晰度、下颌线、皮肤质感、镜头表现的低成本长期执行。把饮食、体液、颈部线条、光照节律、镜头变量合并到一页。
【奥特曼宝典】专题二：近乎妄想的自我信念与意志力,,2026年5月15日 12:15,,,,,Decision,0,,
【巴菲特宝典】专题三：理性胜过智商（能力圈与击球区）,,2026年5月15日 12:15,,,,,Decision,0,,
塔勒布｜不出局引擎（黑天鹅×杠铃×减法）,小波动、无出局风险、可线性优化的平均世界；纯创意发散初期不宜过度减法。,2026年5月15日 12:15,用历史均值预测极端世界；高胜率小赚+低概率归零；期权端成本不封顶；无保守底座；中等风险自我麻痹；听无代价建议。,2026年5月10日,Capital,,Decision,0,"1) 判平均/极端世界
2) 写出局路径
3) 设硬熔断
4) 80–95%保守底座+5–20%期权端
5) 共担过滤+减法防火墙",任何可能归零的投资、职业、创业、关系、健康决策。先判断是否处于幂律世界，再设计下行封顶、上行打开的杠铃结构。
总纲 3｜学习×内容×产品化引擎（Knowledge-to-Cash OS）,没有具体受众/问题/交付物时不要继续输入；不要用精美笔记替代主动召回；不要在P0未稳时幻想产品化。,2026年5月15日 12:15,只学习不发布；卡片写成摘录；同时做长文/产品/模板导致入口过宽；无限打磨；无真实用户反馈；AI代写导致平均化。,2026年5月10日,,,Learning,0,"1) 选唯一交付物
2) 主动召回写3要点
3) 压缩成问题-机制-动作-边界
4) 删30%字数
5) 24小时内发布/存草稿
6) 反馈进入下一版",学到一个模型、看完一段材料、想做内容/IP/模板/产品时。把输入转成问题卡、短文、模板、SOP 或可验证产品实验。
【Ali Abdaal】专题一：愉悦生产力（Feel-Good Productivity）与反倦怠,,2026年5月15日 12:15,,,,,Meta,0,,
【Dan Koe】专题二：《专注的艺术》与人生系统设计,,2026年5月15日 12:15,,,,,Meta,0,,
奥特曼｜指数增长引擎（复利×信念×销售）,不能用自我信念替代现实数据；现金流或健康底座不稳时，风险必须被塔勒布杠铃限制。,2026年5月15日 12:15,把妄想当信念；追风口无作品；专注口号化；不会销售只会自嗨；忽视平庸风险；过早放弃指数曲线前期。,2026年5月10日,Code,,Meta,0,"1) 找指数级趋势
2) 选能复利的资产
3) 建小胜利增强信念
4) 只保留唯一P0
5) 用销售/发布获取反馈",创业、AI 项目、个人 IP、职业赛道选择、长期押注时。寻找指数级趋势，建立自我信念，用专注与销售把产品推向现实反馈。
总纲 2｜决策与反误判引擎（Decision OS）,低风险小事不必完整流程；事实不足时禁止强行精算，退回小实验；情绪强度过高时先冷却再决策。,2026年5月15日 12:15,把极端世界当平均世界；不写出局线；只找支持证据；变量超过7个；可信度不加权；情绪激活仍做不可逆决定。,2026年5月10日,,,Decision,0,"1) 定题型和目标函数
2) 判世界：平均/极端
3) 列关键变量≤7
4) 写出局线和硬熔断
5) 可信度加权
6) 写3条反证
7) 恐惧设定
8) 气质检查",重大选择、不可逆决策、职业方向、投资下注、关系进退、项目开关。用于把情绪判断转为目标函数、变量、反证、出局线和可执行实验。
Ali Abdaal｜愉悦生产力引擎（能量×学习×创作者）,不能把“感觉良好”当逃避困难；考试/硬交付期必须以结果验收为准；创作者早期不要过度商业化。,2026年5月15日 12:15,把愉悦当娱乐；用精美笔记代替主动召回；沉迷定位不发布；先搭系统不发10篇；把热情误判为市场需求。,2026年5月10日,Media,,Learning,0,"1) 让任务更好玩/可控/有连接
2) 写Why/What/When解除拖延
3) 用问题笔记主动召回
4) 连续发布10个内容
5) 每次只改进1个变量",学习、考试、内容创作、反拖延、创作者冷启动、反倦怠时。用积极情绪维持行动，用主动召回提高学习效率，用低门槛发布进入反馈。
外貌表现食材库｜按生理机制分层（直观版）,,2026年5月15日 12:15,,,,,Training,0,,
【奥特曼宝典】专题一：指数级增长与复利效应,,2026年5月15日 12:15,,,,,Learning,0,,
【富兰克林宝典】专题一：13个美德与道德完美操作系统,,2026年5月15日 12:15,,,,,Training,0,,
【巴菲特宝典】专题二：经济护城河与滚雪球（复利）,,2026年5月15日 12:15,,,,,Learning,0,,
【达利欧宝典】专题二：创意择优与可信度加权决策,,2026年5月15日 12:15,把名气当可信度；不看机制只看结论；权重不透明→自欺；信息源太多不收敛→拖延,2026年3月27日,,,Decision,0,"1) 定题+目标函数
2) 列信息源清单
3) 给每个信息源打可信度权重（成功≥3次+能解释机制）
4) 加权汇总观点（不要平均）
5) 写反证与熔断
6) 小规模试错验证再放大",多人/多信息源决策；需要“谁更可信”来加权；做重大选择时减少噪声
【费里斯宝典】专题一：新贵阶层与 DEAL 生活设计系统,,2026年5月15日 12:15,,,,,Meta,0,,
【格雷厄姆宝典】专题三：保持身份的微小与黑客手艺人精神,,2026年5月15日 12:15,把身份当叙事→虚荣驱动；追求大而全→永不交付；用规划替代作品；沉迷比较,2026年3月27日,,,Meta,0,"1) 把身份缩小到手艺：今天交付一个可验证作品
2) 选一个小而具体的用户问题
3) 做最小可用版本（MED）
4) 公开/交付后再迭代",你开始飘/开始追宏大叙事；需要回到“身份微小+手艺人交付”；想降低虚荣与比较
【赫拉利宝典】专题一：认知革命与“共同想象”（虚构的现实）,,2026年5月15日 12:15,,,,,Meta,0,,
【达利欧宝典】专题三：机器视角与进化的五步流程,,2026年5月15日 12:15,,,,,Learning,0,,
插件目录｜按场景插拔（索引 + 调用入口）,不要把本页当阅读清单；不要一次调用超过 3 个插件；禁止用模型名堆砌答案而不产出行动卡。,2026年5月15日 12:15,先选偶像不选场景；模型过多导致行动瘫痪；只引用名词不写出局线；调用冲突风险偏好；没有 7 天实验；用完不回写模型。,2026年5月10日,,,Meta,0,"1) 选场景入口
2) 调用1个总纲+2–3个模型
3) 写目标函数/出局线/if-then
4) 生成行动卡
5) 7天后按现实反馈回写",模型库调用入口：当问题卡住时，先选场景，再调用 1 个总纲 + 2–3 个高杠杆模型，输出决策卡、发布实验卡或 MED 卡。
【量化宝典】专题三：系统化交易法则与个人IP的量化运营,,2026年5月15日 12:15,,,,,Meta,0,,
【费里斯宝典】专题二：恐惧设定（战胜瘫痪的斯多葛法则）,,2026年5月15日 12:15,,,,,Decision,0,,
费里斯｜最小自由引擎（DEAL×恐惧设定×MED）,硬门槛考试、合规任务、短期冲刺保交付时不能过度删减；MED 不是偷懒，必须有达成信号。,2026年5月15日 12:15,TMI 虚高；把恐惧设定写成想象灾难；流程未稳定先自动化；用忙碌逃避关键动作；无停止规则导致过载。,2026年5月10日,Media,,Meta,0,"1) 定义TMI与目标信号
2) 删除时间黑洞
3) 恐惧设定：定义/预防/修复
4) ≤2个关键动作
5) 达标即停并转投瓶颈",生活设计、拖延瘫痪、项目过重、工作流重构、反忙碌时。先定义自由成本，再删时间黑洞，用恐惧设定拆掉瘫痪，用 MED 找最小路径。
赫拉利｜叙事防御引擎（共同想象×进步陷阱×可骇入）,不要把宏大叙事当阴谋论；不能用“虚构”否定法律、金钱、公司等现实约束；反算法不是反技术。,2026年5月15日 12:15,故事脱离交付；把反消费变成身份表演；只靠自律抵抗算法；内观变玄学长文；把进步陷阱泛化到所有工具。,2026年5月10日,Media,,Meta,0,"1) 识别共同故事
2) 问它服务谁/约束谁
3) 找出现代小麦
4) 建环境防火墙
5) 每周审计算法劫持源",理解社会规则、品牌叙事、消费主义陷阱、算法成瘾、AI 时代注意力防御时。识别共同想象，避免被小麦驯化，建立算法防火墙。
名人模型总索引｜16个高杠杆人物模型,不要把本页当阅读清单；每次最多调用 3 个模型，禁止用名人名词堆砌答案。,2026年5月15日 12:15,模型过多导致行动瘫痪；只引用人物不落动作；同时调用互相冲突的风险偏好；忽视不出局线；没有输出卡片。,2026年5月10日,Media,,Meta,0,"1) 定场景：决策/财富/内容/学习/执行
2) 选1–3个模型
3) 写目标函数与出局线
4) 生成if-then动作卡
5) 7天后按现实反馈修正",需要按场景调用名人思想模型时使用：决策、财富、内容、学习、产品、执行、反成瘾、风险控制。先选场景，再调用 1–3 个模型，最后输出可执行卡。
总纲 4｜自我系统与执行引擎（Machine OS）,急性心理危机、持续自伤念头或严重躯体问题不能只靠系统修复；应先求助专业支持。不要用优化系统逃避现实交付。,2026年5月15日 12:15,把失败当道德问题；只责备自己不改环境；没有MED导致任务越做越大；没有信息防火墙；系统整理替代交付；无7天验证。,2026年5月10日,,,Meta,0,"1) 写Goal/Problem/Diagnosis/Design/Do
2) 先稳25分钟带宽
3) 再稳光照/步行/呼吸
4) 设MED和停止条件
5) 开防火墙
6) 7天验证并回写",执行崩掉、拖延、刷屏、任务膨胀、情绪上头、高刺激成瘾、系统过载时。把失败转成机器故障诊断和MED修复动作。
训练 6.0,急性疼痛、医生明确要求停止训练、痔疮急性发作、肩关节明显挤压痛或 TMJ 严重加重时，不按完整计划执行；先就医/降级为恢复版。,2026年5月15日 12:15,常见失效：咬牙硬扛、动作过多导致恢复崩盘、羽毛球疲劳反客为主、推类动作诱发肩前顶、硬拉类动作诱发憋气或痔不适。识别后立即减量、替换或进入恢复周。,2026年4月26日,,,Training,0,1. 每周按周一/三/五力量，周二/四有氧维护，周六羽毛球，周日恢复执行。2. 每次先热身，再主训练，最后拉伸呼吸。3. 训练中用疼痛、TMJ、肩、痔四个信号决定是否降级。4. 连续两次达标且恢复正常才加重。,用于长期执行的个人训练主页：兼容 TMJ、肩稳定、痔风险控制、低体脂推进与羽毛球爱好；适合需要每周固定排班、动作替换、训练降级规则的人。
【赫拉利宝典】专题二：农业革命陷阱与“进步的错觉”,,2026年5月15日 12:15,,,,,Decision,0,,
【量化宝典】专题二：爱德华·索普与凯利公式（仓位与生存）,,2026年5月15日 12:15,,,,,Decision,0,,
【马斯克宝典】专题二：白痴指数与极简五步“算法”,,2026年5月15日 12:15,,,,,Decision,0,,
M/纳瓦尔杠杆：财富的物理学与零边际成本,,2026年5月15日 12:15,,,,,Meta,0,,
【芒格宝典】专题二：人类误判心理学与25个Bug,纯创造/发散阶段不必过度体检；避免把一切都当 bug 导致自我否定。,2026年5月15日 12:15,只背概念不做体检；情绪激活时仍做重大决定；只找支持证据；把沉没成本当理由；被权威/群体带节奏；不写熔断导致越错越大。,2026年5月9日,,,Decision,0,"1) 先写决策三件套：目标函数/出局线/可观测变量
2) 过“误判体检”：奖励惩罚、避免不一致、社会认同、被剥夺、权威、对比、嫉妒、Lollapalooza
3) 每条写一个反证问题：若为真则不做
4) 把熔断写成动作：触发即停/撤/降级
5) 事后复盘：到底是哪个 bug 触发",用于重大决策/交易/关系与职业选择前的“反误判体检”：把常见心理 bug 显式化，强制写反证与熔断，避免在奖励/从众/权威/沉没成本里翻车。
【纳瓦尔宝典】专题二：顶级人类的决策机器（心智模型）,,2026年5月15日 12:15,,,,,Decision,0,,
训练 6.1｜户外徒手版,急性疼痛、医生明确停训、痔急性发作、肩明显挤压痛或 TMJ 严重加重时不按本计划执行；雨雪天气器材打滑、单杠双杠生锈晃动、夜间无照明操场时不进行高难度引体/双杠动作，先就医或降级为恢复版。,2026年5月15日 12:15,把跳绳当主力心肺导致膝踝过载；引体硬冲单臂强度造成肘肩急性损伤；双杠臂屈伸过深诱发肩前顶或 TMJ 咬牙；单脚臀桥追求次数憋气加重痔；羽毛球与单杠日叠加导致前臂/握力过劳；难度梯度升得太快第二天恢复不足。,2026年5月11日,Labor,,Training,0,1. 每周一/三/五力量、周二/四操场有氧、周六羽毛球、周日恢复，全部固定执行。2. 每次先热身 8 分钟，再主训练，最后拉伸呼吸 8 分钟。3. 动作进阶用难度梯度（入门→标准→进阶），不是加重量。4. 用疼痛、TMJ、肩、痔、憋气五信号决定降级或替换。5. 连续两次达标且第二天恢复正常才允许升一级难度。,无健身房、仅有操场+引体杠+双杠+瑜伽垫+跳绳条件下长期执行的个人训练主页。继承训练 6.0 的安全规则、降级体系、羽毛球兼容性，适合需要把健身房计划平移到户外的低体脂推进与体态修正场景。
Dan Koe｜个人资产飞轮（专注×整合×一人商业）,现实交付太少、P0 未完成、现金流未稳时，不应把个人品牌当逃避；也不应模仿英文创作者人设。,2026年5月15日 12:15,只学人设不交付；沉迷定位不发布；内容变表达欲；AI 代写平均化；输入过多输出过少；个人 IP 早于真实能力。,2026年5月10日,Media,,Content,0,"1) 写反愿景
2) 选过去的自己为受众
3) 输入压缩成问题地图
4) 每周公开输出
5) 把高频问题产品化",写作、个人 IP、内容商业、知识整合、AI 协作输出时。把自己的问题、经历、跨学科输入转成可复用内容与数字资产。
训练｜每日执行协议 × TMJ安全规则,,2026年5月15日 12:15,多个训练模板并存→版本冲突；疼痛硬扛→慢性化；不做替换而是停训→断链；忽略生活习惯（咬紧/焦虑）,2026年3月27日,,,Training,0,"1) 先看红线：疼痛≥3/10持续3天→降级
2) 训练动作唯一权威：按FITNESS SYSTEM
3) 发现触发动作→替换/减量（MED）
4) 每次训练前检查：牙不接触+下颌放松
5) 复盘：记录触发条件→写入Failure Modes",训练期需要TMJ安全护栏；出现咀嚼/张口疼痛预警；需要把训练降级但不断链
运动生理学｜循证训练决策框架,,2026年5月15日 12:15,同时改多个变量→无法归因；只堆训练不守恢复→退化；追求极限强度导致伤病；无记录→无法验证,2026年3月27日,,,Training,0,"1) 明确目标：力量/肌肥大/耐力/体脂
2) 选最小变量：训练量/强度/RIR/频率/有氧
3) 先守恢复：睡眠+总量上限
4) 用2周微调一个变量
5) 记录主观状态+关键指标→复盘",训练计划需要循证决策；遇到平台期/疲劳/恢复差；想在力量/有氧/恢复之间做取舍
【巴菲特宝典】专题一：价值投资、市场先生与安全边际,,2026年5月15日 12:15,,,,,Investment,0,,
【马斯克宝典】专题三：极限施压与物种级愿景,,2026年5月15日 12:15,,,,,Meta,0,,
