"file","findings","rule_ids","commits","first_date","last_date","category","disposition","next_action"
".codex/skills/hyperframes/registry/blocks/code-scroll/code-scroll.html","179","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
".codex/skills/hyperframes/registry/blocks/code-shader-dissolve/code-shader-dissolve.html","35","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
".codex/skills/hyperframes/registry/blocks/code-snippet-flight/code-snippet-flight.html","27","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
".codex/skills/hyperframes/registry/blocks/code-typing/code-typing.html","44","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","hyperframes-code-snippet","candidate-rule-review","Confirm generic-api-key matches are code examples; retain source semantics"
".codex/skills/hyperframes/skills/website-to-video/references/capabilities.md","1","generic-api-key","1","2026/7/7 2:28:08","2026/7/7 2:28:08","source-code-reference","candidate-source-review","Confirm candidate is source code or documentation example"
".codex/skills/knowledge-base/SKILL.md","3","generic-api-key","2","2026/6/8 10:35:45","2026/6/9 15:50:12","skill-documentation","manual-disposition-required","Review candidate context without exporting Match or Secret"
"media/flagship/book-v3/FULL_MANUSCRIPT.md","1","generic-api-key","1","2026/6/8 18:01:40","2026/6/8 18:01:40","media-source-ledger","protected-source-review","Confirm whether candidate is a source identifier, example, or revoked historical value"
"media/flagship/book-v3/GIT_TIME_LOG.md","1","generic-api-key","1","2026/6/8 17:00:55","2026/6/8 17:00:55","media-source-ledger","protected-source-review","Confirm whether candidate is a source identifier, example, or revoked historical value"
"media/flagship/book-v3/SOURCE_LEDGER.md","3","generic-api-key","3","2026/6/8 16:57:41","2026/6/8 18:07:59","media-source-ledger","protected-source-review","Confirm whether candidate is a source identifier, example, or revoked historical value"
"media/flagship/book-v4/SOURCE_LEDGER.md","1","generic-api-key","1","2026/6/9 6:12:44","2026/6/9 6:12:44","media-source-ledger","protected-source-review","Confirm whether candidate is a source identifier, example, or revoked historical value"
"media/flagship/book-v5/SOURCE_LEDGER.md","1","generic-api-key","1","2026/6/9 7:12:35","2026/6/9 7:12:35","media-source-ledger","protected-source-review","Confirm whether candidate is a source identifier, example, or revoked historical value"
"media/WEREAD_SOURCE_ENRICHMENT.md","1","generic-api-key","1","2026/6/8 4:21:45","2026/6/8 4:21:45","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
"output/prompts/PROMPT_CONTENT_SURGEON_v2_DONGHUI.md","4","curl-auth-header;generic-api-key","1","2026/6/7 7:34:23","2026/6/7 7:34:23","historical-prompt-config","rotation-required","Verify service-side revocation; do not rewrite shared history"
"SOURCES/WEREAD_VERIFICATION_REPORT.md","1","generic-api-key","1","2026/6/6 7:35:40","2026/6/6 7:35:40","weread-history","rotation-required-protected-source","Verify old value rejection before protected-source disposition"
